salon_name,area,reviewer,rating,date,review_text
Christian Heritage,Marks & Spencer South Extension 2,SHRUTI SINGH,5,02 Oct 2019,"Thank You Gaur Sir and Lilly Ma`am for making my dream gown a real one, I must say you ppl deal a bride not as a customer but you pay attention as a responsible team to make us feel wow and confident!! My family was really amazed after listening to the cost of it and seeing the material you used words couldn't describe what I`m really feeling  May God bless you and your team you guys are a true blessing  Highly recommended for all the brides who want to make their special day a memorable one  As to a family there is one family doctor to our family you are from now our family gown provider."
Christian Heritage,Marks & Spencer South Extension 2,Prashant,5,23 Jan 2019,"Latest range available, awesome collection & m very happy with their service. I really appreciate them."
Christian Heritage,Marks & Spencer South Extension 2,vineet gaur,5,13 Apr 2016,"I am very happy with your service My sister was in love with the dress you made for her, The delivery and process was great within 7 days the dress was with us Wish you great success ahead."
Christian Heritage,Marks & Spencer South Extension 2,Lalita wadhwa,4.5,08 Jun 2019,The best reception and cocktail party gown available highly recommend very reasonable prices
Christian Heritage,Marks & Spencer South Extension 2,sana,4.5,25 Nov 2018,I love the colour gowns collection please keep updating us when new collection is out
Christian Heritage,Marks & Spencer South Extension 2,NEELAM,5,16 Oct 2022,Excellent and exclusive.
Christian Heritage,Marks & Spencer South Extension 2,Akash,5,10 Aug 2021,Excellent
Christian Heritage,Marks & Spencer South Extension 2,usha Singh,4.5,26 Sep 2019,Very nice services
Christian Heritage,Marks & Spencer South Extension 2,Chauhan,5,11 Nov 2014,Excellent
Christian Heritage,Marks & Spencer South Extension 2,anchit Kharbanda,4,28 Oct 2014,Very Good
Christian Heritage,Marks & Spencer South Extension 2,Priyanka,5,16 Oct 2014,Excellent
Christian Heritage,Marks & Spencer South Extension 2,Alex,4,04 Oct 2014,Very Good
Christian Heritage,Marks & Spencer South Extension 2,Shelley Lall Lall,5,12 Sep 2014,Excellent
Christian Heritage,Marks & Spencer South Extension 2,Niraj,5,25 Aug 2014,Excellent
Christian Heritage,Marks & Spencer South Extension 2,Bhanu sachdeva,4,20 Aug 2014,Very Good
Christian Heritage,Marks & Spencer South Extension 2,ashish,5,17 Aug 2014,Excellent
Christian Heritage,Marks & Spencer South Extension 2,ARUN,5,31 Jul 2014,Excellent
Christian Heritage,Marks & Spencer South Extension 2,johfjffg,5,04 Jul 2014,Excellent
Christian Heritage,Marks & Spencer South Extension 2,Shradha,5,01 Oct 2024,
Christian Heritage,Marks & Spencer South Extension 2,Garima,5,25 Feb 2024,
Christian Heritage,Marks & Spencer South Extension 2,SHOBHA,5,17 Sep 2022,
Christian Heritage,Marks & Spencer South Extension 2,Heritage,5,30 May 2020,
Christian Heritage,Marks & Spencer South Extension 2,Iassac Wesley,5,26 Dec 2019,
Christian Heritage,Marks & Spencer South Extension 2,Sushma,4,13 Dec 2019,
Christian Heritage,Marks & Spencer South Extension 2,Vishal,5,05 Apr 2019,
Christian Heritage,Marks & Spencer South Extension 2,Komal,5,12 Nov 2018,
Christian Heritage,Marks & Spencer South Extension 2,Ajay,5,01 Nov 2018,
Christian Heritage,Marks & Spencer South Extension 2,Gladwin Lal,5,09 Oct 2018,
Christian Heritage,Marks & Spencer South Extension 2,Rajendera,4,26 Jun 2018,
Christian Heritage,Marks & Spencer South Extension 2,Mansi,5,27 Feb 2017,
Christian Heritage,Marks & Spencer South Extension 2,Sandhya,5,20 Nov 2016,
Christian Heritage,Marks & Spencer South Extension 2,fiona pinto,4,27 Aug 2016,
Christian Heritage,Marks & Spencer South Extension 2,Elvis Julius,5,12 Aug 2016,
Christian Heritage,Marks & Spencer South Extension 2,sanjeev kumar,4,11 May 2016,
Christian Heritage,Marks & Spencer South Extension 2,Ashika,5,19 Dec 2015,
Christian Heritage,Marks & Spencer South Extension 2,Vivek,5,17 Dec 2015,
Christian Heritage,Marks & Spencer South Extension 2,RAVI,4,05 Dec 2015,
Christian Heritage,Marks & Spencer South Extension 2,rohit,5,30 Nov 2015,
Christian Heritage,Marks & Spencer South Extension 2,Arti,5,20 Jul 2015,
Christian Heritage,Marks & Spencer South Extension 2,Richa arora,5,18 Jul 2015,
Christian Heritage,Marks & Spencer South Extension 2,Sanjay,5,15 Jul 2015,
Christian Heritage,Marks & Spencer South Extension 2,GARIMA,5,12 Mar 2015,
Christian Heritage,Marks & Spencer South Extension 2,Bali,4,11 Feb 2015,
Christian Heritage,Marks & Spencer South Extension 2,Anil,5,10 Feb 2015,
Christian Heritage,Marks & Spencer South Extension 2,VISHAL,5,30 Apr 2014,
Christian Heritage,Marks & Spencer South Extension 2,Seema,5,28 Apr 2014,
Christian Heritage,Marks & Spencer South Extension 2,Bobbin,4,22 Apr 2014,
Christian Heritage,Marks & Spencer South Extension 2,Nidhi Sharma,5,17 Apr 2014,
Christian Heritage,Marks & Spencer South Extension 2,Sunny,5,03 Apr 2014,
Christian Heritage,Marks & Spencer South Extension 2,Sandeep,5,27 Mar 2014,
Christian Heritage,Marks & Spencer South Extension 2,Shad,4,09 Mar 2014,
Christian Heritage,Marks & Spencer South Extension 2,jennifer peter,5,18 Feb 2014,
Christian Heritage,Marks & Spencer South Extension 2,Raj,5,26 Jan 2014,
Christian Heritage,Marks & Spencer South Extension 2,Kamaljeet,5,10 Dec 2013,
Christian Heritage,Marks & Spencer South Extension 2,Gregory,5,09 Oct 2013,
Christian Heritage,Marks & Spencer South Extension 2,Kohli,5,03 Sep 2013,
Christian Heritage,Marks & Spencer South Extension 2,Koko,5,23 Aug 2013,
Christian Heritage,Marks & Spencer South Extension 2,ricky,5,19 Aug 2013,
Christian Heritage,Marks & Spencer South Extension 2,jim,5,19 Aug 2013,
Christian Heritage,Marks & Spencer South Extension 2,Zuric,5,17 Aug 2013,
Christian Heritage,Marks & Spencer South Extension 2,Teresa Dass,4,11 Aug 2013,
Christian Heritage,Marks & Spencer South Extension 2,Garwin,5,05 Aug 2013,
Christian Heritage,Marks & Spencer South Extension 2,VARUN,4,29 Jul 2013,
Christian Heritage,Marks & Spencer South Extension 2,Ritu,5,02 Jul 2013,
Christian Heritage,Marks & Spencer South Extension 2,Meenakshi,4,04 Jun 2013,
Christian Heritage,Marks & Spencer South Extension 2,Edwin,5,24 May 2013,
Christian Heritage,Marks & Spencer South Extension 2,PRASAD,4,12 May 2013,
Christian Heritage,Marks & Spencer South Extension 2,PULOMA,4,09 May 2013,
Christian Heritage,Marks & Spencer South Extension 2,Melvin,5,28 Apr 2013,
Christian Heritage,Marks & Spencer South Extension 2,PREETI,4,10 Apr 2013,
Christian Heritage,Marks & Spencer South Extension 2,MARRY,5,27 Mar 2013,
Christian Heritage,Marks & Spencer South Extension 2,AMANDA,4,21 Mar 2013,
Christian Heritage,Marks & Spencer South Extension 2,Norvina Victor,5,08 Feb 2013,
Christian Heritage,Marks & Spencer South Extension 2,VIDYA,4,05 Apr 2013,
Christian Heritage,Marks & Spencer South Extension 2,TEENU,4,11 Apr 2013,
Christian Heritage,Marks & Spencer South Extension 2,JENEFAR,5,12 Apr 2013,
Christian Heritage,Marks & Spencer South Extension 2,JEET,5,30 Nov 2012,
Christian Heritage,Marks & Spencer South Extension 2,Jitender kum,4,27 Nov 2012,
Christian Heritage,Marks & Spencer South Extension 2,HARISH,5,25 Nov 2012,
Christian Heritage,Marks & Spencer South Extension 2,JERRY,5,23 Nov 2012,
Christian Heritage,Marks & Spencer South Extension 2,Avinash,5,12 Nov 2012,
Christian Heritage,Marks & Spencer South Extension 2,Reena mann,5,02 Nov 2012,
Christian Heritage,Marks & Spencer South Extension 2,Anoop,5,18 Oct 2012,
Christian Heritage,Marks & Spencer South Extension 2,NEYI,4,20 Jul 2012,
Christian Heritage,Marks & Spencer South Extension 2,Julie,4,15 Jul 2012,
Christian Heritage,Marks & Spencer South Extension 2,UPASNA,4,08 Jun 2012,
Christian Heritage,Marks & Spencer South Extension 2,Mohan,5,09 May 2012,
Christian Heritage,Marks & Spencer South Extension 2,manish,5,20 Apr 2012,
Christian Heritage,Marks & Spencer South Extension 2,ANSHIKA,4,18 Apr 2012,
Christian Heritage,Marks & Spencer South Extension 2,Vandana Paul,4,27 Nov 2011,
Christian Heritage,Marks & Spencer South Extension 2,ANISHA,4,12 Oct 2011,
Christian Heritage,Marks & Spencer South Extension 2,rohan,5,27 May 2011,
Christian Heritage,Marks & Spencer South Extension 2,Gopal,4,07 May 2011,
Asiana Couture,Chandni Chowk,nick,1,11 Sep 2025,Very bad experience.  Actually terrible experience.. I bought one lehenga from their store and they asked to come for alteration after 10 days . At that time (when we bought the lehenga ) they told us we will charge 10k for alteration . When i went there after 10 days they said we charge 25 k for alteration these are our starting price . And the sales person who was their at time of sale was only for one day  they said .. very pathetic experience.  They dont even know how to keep their words ..
Asiana Couture,Chandni Chowk,Sethi,1,07 Feb 2023,Very poor service bad experience Wedding lehnga ke liye 1.5 month bola 2 month tk chakkar Kate wedding se 1 din pehle lehnga ld kar lia aur wo bhi bkwas .. Fitting very bad my west 28 but size 41 Tailor very cheap Staff very poor Last m dhamki dete h paise wapis lo but 2 din pehle kaha se lati lehnga jaan boojh kar bhut jada pareshan kia 60000 dene ke baad bhi mera day spoil kia god kabhi maaf nhi karega aap jo bhi message dekh rhe ho kabhi bhi asian lehnga chandni chowk mt jana be careful
Asiana Couture,Chandni Chowk,bella rajput,5,02 Nov 2020,"My Wedding Dress was made by Payal keyal, . salesman let me explain my vision for both the events and then suggested the outfits, blouse design and dupatta design for the wedding. Even though it was such a heavy piece, they delivered on time!"
Asiana Couture,Chandni Chowk,sneha aggarwal,5,02 Nov 2020,Collection was so good their marwar collection was so different . I never seen that amazingswork on any lehengas . i was so happy after purchasing my stuff from this store
Asiana Couture,Chandni Chowk,gia,4.5,02 Nov 2020,I`m from Canada and I purchased my lehenga on virtual appointment. Their staff and salesperson treat me very well I really like their payal Keyal outfits and I purchased my lehenga from Payal keyal collection only
Asiana Couture,Chandni Chowk,Anubha,4.5,02 Nov 2020,"I would highly recommend this  for someone passionate about the fashion industry. It`s an Amazing experience  too deepen inside the fashion world, through history, design and concept of dresses the customer service and all salesman are so humble in nature ... truly no one can say ``No to the dress"
Asiana Couture,Chandni Chowk,Prabhas,0.5,18 May 2018,Extreamely fake and over the top staff. They turn your back the moment you buy from them. 0 customer service. All the glitz and glamour to rip your hard earned money will make you spend and then regret a day later.
Asiana Couture,Chandni Chowk,varun kumar singh,0.5,01 Feb 2018,Unprofessional people. They changed the color and design of lehenga. In short they delivered different lehenga and we don`t have option as we have only 4 days for function. We have to follow up multiple time.
