Salon Name,Rating,Review Count,Address,Phone,Website,Photo URL,Shop Categories,Business Status
"GRACE Christian Wedding Gown Boutique, Bridal Makeup & Ladies Salon",4.8,414,"GRACE Christian Wedding Gown Boutique, Bridal Makeup & Ladies Salon, 150-B, DDA Flats, first floor, Shahpur Jat, Siri Fort, New Delhi, Delhi 110049, India",9.1991E+11,https://www.gracechristianweddinggown.com,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkF8SkPW5pou9nBwyLsyHYADdsPZzNYkswVqV3LNnB4a8OU3Dqn2fOSDYVAprWC7Zeuyzq7OR0pUkT4RN-9AV-ZAO1oZfYxRUce007M7XPHEgMZYGZ7PPPMBLHrAIOhxTUC_-HCA,"Bridal shop, Clothing store, Designer clothing store, Fashion designer, Make-up artist",OPEN
Kala Shree - BEST BRIDAL LEHENGA STORE IN KAROL BAGH.,4.8,1063,"1st FLOOR, Kala Shree - BEST BRIDAL LEHENGA STORE IN KAROL BAGH., Pratap Chambers, 101-102, Gurudwara Rd, near GURUDWARA, Ghaffar Market, Block 24N, Beadonpura, Karol Bagh, New Delhi, Delhi, 110005, India",9.1981E+11,http://instagram.com/kala_shree.in,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVpNqDHwaAtff6ER__iap6u10lhDfPB0s4G5u2GDdefVYCosyFrkwXReyzmGaMnT0skpsT8OOdRhUQMb-8HxXUVgTxzT5Ioy80wOe6A_v9rnE4wrNIphW5jt44b1-_eUuS3EtB,"Bridal shop, Clothing store, Clothing supplier, Designer clothing store, Embroidery shop, Saree Shop, Store, Wedding store",OPEN
Roop Vatika by Raj Arora,4.7,968,"Roop Vatika by Raj Arora, A-45, UGF, Block EC, Vishal Enclave, Rajouri Garden, New Delhi, Delhi, 110027, India",9.18596E+11,https://roopvatikadesign.com/pages/book-an-appointment,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0EVcDg_QV9HX7TiXkzlE-KISkbCbNdUlMI63YjT_lkWTV-pgyV5usUkSAyEQzXaALNW2IevfNaSaEUTGwdRbUlgfJyNem798CnE6oQktaE4ZiZKOuGzrI1LTSTlsq457_WRkX,Designer clothing store,OPEN
Keshav Creations - Best Bridal Lehenga And Saree Store | Best Lehenga and Wedding Sarees Shop In Chandni Chowk Delhi,4.8,2781,"Keshav Creations - Best Bridal Lehenga And Saree Store | Best Lehenga and Wedding Sarees Shop In Chandni Chowk Delhi, 77-78, Chandni Chowk Rd, opposite McDonald's, opposite Macdonalds, Clock Market, Dariba Kalan, Chandni Chowk, Delhi, 110006, India",9.1981E+11,https://keshavcreations.com,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1imhGCbaSzI2QcFTixbZrsjRFKiuON4_XizHJykG8bpzjOTX8HJfs687TFgjSVa0XV7O3Pj6e4BzKbLOGieWV5q99RTcE3wlGP6Wppgp_4xZ-0AOjwUZ7LJIerScF87CiIPvL,"Bridal shop, Clothing store, Clothing wholesaler, Designer clothing store, Embroidery shop, Saree Shop, Wedding service, Wedding store",OPEN
LIBAZ By MANN - Luxury Bridal Wear Designer Store in Chandni Chowk,4.6,191,"LIBAZ By MANN - Luxury Bridal Wear Designer Store in Chandni Chowk, 2058, Kinari Bazar Rd, Kinari Bazar, Katra Shah N Shah, Old Delhi, New Delhi, Delhi, 110006, India",9.2E+11,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmtRRkC-oZ0jPtwRrlN-lLSfhW_pTGnpFNZX1tfALLd6lwK3upQHsBlKcKyplXf5_iQ5JZUvYGmBHzF2JYCKgC8-QpUNdbQHyr6oOSMsjjutB_3xjcqy3ixq3tn6hZrDlrjoSFXA,"Bridal shop, Boutique, Clothing store, Designer clothing store, Dress store, Saree Shop, Women's clothing store",OPEN
Sincerely Bridal,4.7,459,"Sincerely Bridal, F-28, Basement, Lajpat Nagar - 2, New Delhi, Delhi 110024, India",9.19818E+11,https://sincerelybridal.com,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZjXBk62CfuWMnBT0fsX3B7oLZTjcq_dp9y__LEXCwIP_rUfyiyulP3KPCmFKU787dWx_PBdXareJFbrWCksi5GeXwBrAbdtRsqkyYX1RGABv2QhQr9DEFiL6PLCrPgIobP_Q,"Bridal shop, Wedding service, Wedding store",OPEN
Christian Heritage,4.6,370,"Christian Heritage, P-20, 1st Floor, South Extension II, New Delhi, Delhi 110049, India",9.19819E+11,https://www.facebook.com/thechristianheritage,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPR9CIitFVM_i17sQ5XAZFtAwuez8PL43rMDM7eN15JLqTEbu-0ylyG99iy1ChAYe0rA9RVdPFIDAO-hw1MGVSK2QH_zaW4ezTLQeStOqoJIOCoN59FDCSc1vJbGzHGhGTdF86,Bridal shop,OPEN
Kala Shree Regalia,4.4,387,"Kala Shree Regalia, 1914-15, OPPOSITE SHEESH GANJ GURUDWARA, CHANDNI CHOWK, Delhi, 110006, India",9.19319E+11,http://kalashreeregalia.com,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDXHeJ8DsvpgrT0_9VSKKkupsRF0uWAQsu0SYmTFztlnicN3hMOKsmx8F5FHvZXa2-oigfIuQJRmYSnNaw60KEwLHSfVX50xrYM0MBF0_K6f0nhWyA36SuHHe4Amywi6SaafVc,"Bridal shop, Clothing manufacturer, Designer clothing store, Dress store, Dressmaker, Embroidery service, Fashion designer, Saree Shop, Wedding store",OPEN
Dvasa by Abhi | Best Bridal Lehenga Shop In Chandni Chowk | Best Bridal Shop In Delhi |,4,231,"Dvasa by Abhi | Best Bridal Lehenga Shop In Chandni Chowk | Best Bridal Shop In Delhi |, 501, near Kucha Mahajani, near Town Hall, Katra Asharfi, Chandni Chowk, Delhi, 110006, India",9.19999E+11,https://dvasabyabhi.in,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqBLZ8yunEfsqlSm2hnRU-zn5L4aI8WbdyUL-QWiZNl_haOyq6S5FzkRorkgDd-MqTmZL8V8zbgvQJrt2Cp5xf9aqXKNJiEJgcrH5y6hlg8hsbrRRTLKMuCvIUUZIWZCgQxRL-,"Bridal shop, Boutique, Fabric store, Saree Shop, Traditional costume club, Traditional market, Wedding store, Women's clothing store",OPEN
Libaas Bridal Store,4.5,64,"Shop no.1074, Libaas Bridal Store, *naya katra*, Chandni Chowk, Delhi, 110006, India",9.1956E+11,https://vypzee.com/Delhi/Delhi/chandni-chowk/libaas?generateDiscount=1&reviewStore=1&physicalScan=1&tinyUrl=b09j82,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyXpFgQNF0ej4yp6JzyMlPkMO_boRU9S7T3IXujKvgmU-NheLxKdY0QJaun5hGeeCpg1QsnItC_QPzAy47OKhTv7SxyH90s1BQvbZm-JJ3xoAXcWBhqFT9v-lyhcLsROIJLHEI,Bridal shop,OPEN
